Hymn_No,English,Author,English Category,Last Num
11,"1. Praise to the Lord, the Almighty,\nthe King of creation!\nO my soul, praise Him, for He is thy\nHealth and Salvation!\nJoin the full throng;\nWake, harp and psalter and song;\nSound forth in glad adoration!\n\n2. Praise to the Lord, who o'er all things so\nWondrously reigneth,\nWho, as on wings of an eagle,\nUplifteth, sustaineth.\nHast thou not seen\nHow thy desires all have been\nGranted in what He ordaineth?\n\n3. Praise to the Lord, who hath fearfully,\nWondrously, made thee;\nHealth hath vouchsafed and, when\nHeedlessly falling, hath stayed thee.\nWhat need or grief\nEver hath failed of relief?\nWings of His mercy did shade thee.\n\n4. Praise to the Lord, who doth prosper\nThy work and defend thee;\nWho from the heavens the streams of\nHis mercy doth send thee.\nPonder anew\nWhat the Almighty can do,\nWho with His love doth befriend thee.\n\n5. Praise to the Lord! Oh, let all that is in\nMe adore Him!\nAll that hath life and breath, come\nNow with praises before Him!\nLet the Amen\nSound from His people again;\nGladly for aye we adore Him\n",,,
12,"1. The Lord, my God, be praised,\nMy Light, my Life from heaven;\nMy Maker, who to me\nHath soul and body given;\nMy Father, who doth shield\nAnd keep me day by day.\nDoth make each moment yield\nNew blessings on my way.\n\n2. The Lord, my God, be praised,\nMy Trust, my Life from heaven,\nThe Father's own dear Son,\nWhose life for me was given;\nWho for my sin atoned\nWith His most precious blood,\nWho giveth me by faith\nThe highest heav'nly good.\n\n3. The Lord, my God, be praised,\nMy Hope, my Life from Heaven,\nThe Spirit, whom the Son\nIn love to me hath given\n‘Tis He revives my heart,\n‘Tis He that gives me pow'r,\nHelp, comfort, and support\nIn sorrow's gloomy hour.\n\n4. The Lord, my God, be praised,\nMy God, who ever liveth,\nTo whom the heavenly host\nAll praise and honor giveth,\nThe Lord, my God, be praised,\nIn whose great name I boast,\nGod Father, God the Son,\nAnd God the Holy Ghost.\n\n5. To Him with joyful song\nOur praises we are bringing\nAnd with the angel throng\nThrice “Holy” we are singing.\nWith one united voice\nThe Church doth Him adore.\nThe Lord, my God, be praised\nNow and forevermore.\n",,,
13,"1. O Lord of heav'n and earth and sea\nTo Thee all praise and glory be.\nHow shall we show our love to Thee,\nWho givest all?\n\n2. The golden sunshine, vernal air,\nSweet flow'rs and fruit, Thy love declare.\nWhen harvest ripen, Thou art there,\nWho givest all.\n\n3. For peaceful homes and healthful days,\nFor all the blessings earth displays,\nWe owe Thee thankfulness and praise,\nWho givest all.\n\n4. Thou didst not spare Thine only Son,\nBut gav'st Him for a world undone,\nAnd freely with that Blessed One\nThou givest all.\n\n5. Thou giv'st the spirit's holy dower,\nSpirit of Life and Love and Power,\nAnd dost His sev'nfold graces show'r\nUpon us all.\n\n6. For souls redeemed, for sins forgiv'n,\nFor means of grace and hopes of heav'n,\nWhat can to Thee, O Lord, be giv'n,\nWho givest all?\n\n7. We lose what on ourselves we spend;\nWe have as treasure without end,\nWhatever, Lord, to Thee we lend,\nWho givest all.\n\n8. To Thee, from whom we all derive\nOur life, our gifts, our power to give.\nOh, may we ever with Thee live,\nWho givest all!\n",,,
14,"Praise God, from whom all blessings flow;\nPraise Him, all creatures here below;\nPraise Him above, heavenly host;\nPraise Father, Son, and Holy Ghost, Amen.\n",,,
15,"1. Fairest Lord Jesus,\nRuler of all nature,\nO Thou of God and man the Son;\nThee will I cherish,\nThee will I honour,\nThou my soul's glory, joy and crown.\n\n2. Fair are the meadows,\nFairer still the woodlands,\nRobed in the blooming garb of spring;\nJesus is fairer,\nJesus is purer,\nWho makes the woeful heart to sing.\n\n3. Fair is the sunshine,\nFairer still the moonlight,\nAnd fair the twinkling starry host;\nJesus shines brighter,\nJesus shines purer,\nThan Thou, my Saviour, art to me.\n",,,
16,"1. Oh, that I had a thousand voices\nTo praise my God with thousand tongues !\nMy heart, which in the Lord re - joices,\nWould then proclaim in grateful songs\nTo all, wherever I might be,\nWhat great things God hath done for me.\n\n2. O all ye pow'rs that He implanted,\nArise, and silence keep no more;\nPut forth the strength that He hath granted,\nYour noblest work is to adore.\nO soul and body, be ye meet,\nWith heart - felt praise your Lord to greet !\n\n3. Ye forest leaves so green and tender,\nThat dance for joy in summer air;\nYe meadow grasses, bright and slender;\nYe flow'rs, so wondrous sweet and fair;\nYe live to show His praise alone,\nWith me now make His glory known.\n\n4. All creatures that have breath and motion,\nThat throng the earth, the sea, and sky,\nNow join me in my heart's devotion,\nHelp me to raise His praises high.\nMy utmost pow'rs can ne'er aright\nDeclare the wonders of His might.\n\n5. Lord, I will tell while I am living,\nThy goodness forth with every breath;\nAnd greet each morning with thanksgiving\nUntil my heart is still in death;\nYea, when at last my lips grow cold,\nThy praise shall in my sighs be told.\n\n6. O Father, deign Thou, I beseech Thee,\nTo listen to my earthly lays;\nA nobler strain in heav'n shall reach Thee,\nWhen I with angels hymn Thy praise\nAnd learn amid their choirs to sing\nLoud hallelujahs to my King.\n",,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,"1. For the beauty of the earth,\nfor the glory of the skies,\nfor the love which from our birth\nover and around us lies.\nChrist, our Lord, to Thee we raise\nThis, our sacrifice praise.\n\n2. For the beauty of each hour\nof the day and of the night,\nHills and vale, and tree and flower,\nsun and moon and stars of light,\nChrist, our Lord, to Thee we raise\nThis, our sacrifice praise.\n\n3. For the joy of ear and eye,\nFor the heart and mind's delight,\nFor the mystic harmony\nLinking sense to sound and sight,\nChrist, our God, to Thee we raise\nThis, our sacrifice praise.\n\n4. For the joy of human love,\nBrother, sister, parent, child,\nFriends on earth, and friends above,\nFor all gentle thoughts and mild,\nChrist, our Lord, to Thee we raise\nThis, our sacrifice praise.\n\n5. For each perfect gift of Thine\nTo our race so freely given,\nGraces human and divine,\nFlow'rs of earth and buds of heav'n,\nChrist, our Lord, to Thee we raise\nThis, our sacrifice praise.\n",,,
39,,,,
40,"1. To God be the glory, great things He hath done,\nSo loved He the world that He gave us His Son,\nWho yielded His life an atonement for sin,\nAnd opened the Life - gate that all may go in. \n\nCh : Praise the Lord, praise the Lord,\nLet the earth hear His voice,\nPraise the Lord, praise the Lord,\nLet the people rejoice,\nO come to the Father, thro' Jesus the Son,\nAnd give Him the glory, great things\nHe hath done. \n\n2. O perfect redemption, the purchase of blood,\nTo every believer the promise of God;\nThe vilest offender who truly believes,\nThat moment from Jesus a pardon receives. \n\nCh : Praise the Lord, praise the Lord,\nLet the earth hear His voice,\nPraise the Lord, praise the Lord,\nLet the people rejoice,\nO come to the Father, thro' Jesus the Son,\nAnd give Him the glory, great things\nHe hath done. \n\n3. Great things He hath taught us, great things\nHe hath done.\nAnd great our rejoicing thro' Jesus the Son;\nBut purer, and higher, and greater will be\nOur wonder, our transport, when Jesus we see. \n\nCh : Praise the Lord, praise the Lord,\nLet the earth hear His voice,\nPraise the Lord, praise the Lord,\nLet the people rejoice,\nO come to the Father, thro' Jesus the Son,\nAnd give Him the glory, great things\nHe hath done.",,,
41,,,,
42,,,,
43,"1. O Lord, my God! When I in awesome wonder\nConsider all the works Thy hands have made,\nI see the stars, I hear the rolling thunder,\nThy power throughout the universe displayed. Ch. Then sings my soul, my Saviour God, To Thee.\nHow great Thou art, how great Thou art!\nThen sings my soul, my Saviour God, to Thee.\nHow great Thou art, how great Thou art!  \n\n2. When through the woods and forest glades I wander\nAnd hear the birds sing sweetly in the trees;\nWhen I look down from lofty mountain grandeur\nAnd hear the brook and feel the gentle breeze. Ch. Then sings my soul, my Saviour God, To Thee.\nHow great Thou art, how great Thou art!\nThen sings my soul, my Saviour God, to Thee.\nHow great Thou art, how great Thou art! \n\n3. And when I think that God, His Son not sparing,\nSent Him to die, I scarce can take it in;\nThat on the cross, my burden gladly bearing,\nHe bled and died to take away my sin. \n\n4. When Christ shall come with shout of acclamation\nAnd take me home, what joys shall fill my heart!\nThen I shall bow in humble adoration\nAnd there proclaim, My God, how great Thou art!",,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,"1. Ho-san-na to the liv-ing Lord!\nHo-san-na to th' In-car-nate Word!\nTo Christ, Cre-a-tor, Sav-iour, King,\nLet earth, let heav'n, ho-san-na sing.\n\n2. O Saviour, with pro-tect-ing care\nA-bide in this Thy house of prayer,\nWhere we Thy part-ing prom-ise claim,\nAs-sem-bled in Thy sa-cred name.\n\n3. But, chiefest, in our cleansed breast,\nE-ter-nal, bid Thy Spirit rest\nAnd make our secret soul to be\nA temple pure and worthy Thee.\n\n4. So in the last and dread-ful day,\nWhen earth and heav'n shall melt away,\nThy flock, redeemed from sin-ful stain,\nShall swell the sound of praise again.\n",,,
59,"1. When sinners see their lost con-di-tion\nAnd feel the pressing load of sin,\nAnd Jesus cometh on His mission\nTo heal the sin-sick heart within,\nAll grief must flee before His grace,\nAnd joy divine will take its place.\n\n2. When Jesus enters meek and lowly,\nTo fill the home with sweetest peace;\nWhen hearts have felt His blessing holy\nAnd found from sin complete release,\nThen light and calm within shall reign\nAnd hearts divided love again.\n\n3. When Jesus enters land and nation\nAnd moves the people with His love;\nWhen, yielding to His kind persuasion,\nOur hearts His truth and blessing prove,\nThen shall our life on earth be blest,\nThe peace of God on us shall rest.\n\n4. When Jesus comes, O blessed story!\nHe works a change in heart and life;\nGod's Kingdom comes with pow'r and glory\nTo young and old, to man and wife;\nThro' Sacrament and living Word,\nFaith, love, and hope are now conferred.\n\n5. Then stilled are cries and lamentation,\nThen loosed is Satan's every band;\nIn death is hope and consolation,\nThe soul is safe in Jesus' hand.\nWhen we shall walk through death's dark vale,\nHis rod and staff shall never fail.\n\n6. Oh, may He soon to every nation\nFind entrance where He is unknown,\nWith life and light and full salvation,\nThat heathendom may be o'erthrown\nAnd healing to the hearts may come\nIn heathen land and Christian home!\n",,,
60,,,,
61,,,,
62,,,,
63,"1. O Come, O Come, Emmanuel,\nAnd ransom captive Israel,\nThat mourns in lonely exile here\nUntil the Son of God appear.\nRejoice! Rejoice! Emmanuel\nShall come to thee, O Israel!\n\n2. O come, Thou Rod of Jesse, free\nThine own from Satan's tyranny;\nFrom depths of hell Thy people save\nAnd give them vict'ry o'er the grave,\nRejoice! Rejoice! Emmanuel\nShall come to thee, O Israel!\n\n3. O come, Thou Day-spring, come and cheer\nOur spirits by Thine advent here;\nAnd drive away the shades of night,\nAnd pierce the clouds and bring us light!\nRejoice! Rejoice! Emmanuel\nShall come to thee, O Israel!\n\n4. O come, Thou Key of David, come,\nAnd open wide our heav'nly home;\nMake safe the way that leads on high,\nAnd close the path to misery\nRejoice! Rejoice Emmanuel\nShall come to thee, O Israel!\n",,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,,,,
113,,,,
114,,,,
115,,,,
116,,,,
117,,,,
118,,,,
119,,,,
120,,,,
121,,,,
122,,,,
123,,,,
124,,,,
125,,,,
126,,,,
127,,,,
128,,,,
129,,,,
130,,,,
131,,,,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,,,,
138,,,,
139,,,,
140,,,,
141,,,,
142,,,,
143,,,,
144,,,,
145,,,,
146,,,,
147,,,,
148,,,,
149,,,,
150,,,,
151,,,,
152,,,,
153,,,,
154,,,,
155,,,,
156,,,,
157,,,,
158,,,,
159,,,,
160,,,,
161,,,,
162,,,,
163,,,,
164,,,,
165,,,,
166,,,,
167,,,,
168,,,,
169,,,,
170,,,,
171,,,,
172,,,,
173,,,,
174,,,,
175,,,,
176,,,,
177,,,,
178,,,,
179,,,,
180,,,,
181,,,,
182,,,,
183,,,,
184,,,,
185,,,,
186,,,,
187,,,,
188,,,,
189,,,,
190,,,,
191,,,,
192,,,,
193,,,,
194,,,,
195,,,,
196,,,,
197,,,,
198,,,,
199,,,,
200,,,,
201,,,,
202,,,,
203,,,,
204,,,,
205,,,,
206,,,,
207,,,,
208,,,,
209,,,,
210,,,,
211,,,,
212,"1. O Word of God Incarnate,\nO Wisdom from on high,\nO Truth unchanged, unchanging,\nO Light of our dark sky,\nWe praise Thee for the radiance\nThat from the hallowed page,\nA lantern to our foot-steps,\nShines on from age to age.\n\n2. The Church from her dear Master\nReceived the gift divine,\nAnd still that light she lifteth\nO'er all the earth to shine.\nIt is the golden casket\nWhere gems of truth are stored;\nIt is the heav'n-drawn picture\nOf Christ, the living Word.\n\n3. It floateth like a banner\nBefore God's host unfurled\nIt shineth like a beacon\nAbove the darkening world;\nIt is the chart and compass\nThat o'er life's surging sea,\nMid mists and rocks and quicksands,\nStill guides, O Christ, to Thee.\n\n4. Oh, make Thy Church, dear Saviour,\nA lamp of burnished gold\nTo bear before the nations\nThy true light as of old!\nOh, teach Thy wand'ring pilgrims\nBy this their path to trace\nTill, clouds and darkness ended,\nThey see Thee face to face!\n",,,
213,,,,
214,,,,
215,,,,
216,,,,
217,,,,
218,,,,
219,,,,
220,,,,
221,,,,
222,,,,
223,,,,
224,,,,
225,,,,
226,,,,
227,,,,
228,,,,
229,,,,
230,,,,
231,"1. Salvation unto us has come\nBy God's free grace and favour;\nGood works cannot avert our doom,\nThey help and save us never.\nFaith looks to Jesus Christ alone,\nWho did for all the world atone;\nHe is our one Redeemer.\n\n2. What God did in His Law demand\nAnd none to Him could render.\nCaused wrath and woe on ev'ry hand\nFor man, the vile offender,\nOur flesh has not those pure desires\nThe spirit of the Law requires,\nAnd lost is our condition.\n\n3. It was a false, misleading dream\nThat God His Law had given\nThat sinners could themselves redeem\nAnd by their works gain heaven,\nThe Law is but a mirror bright,\nTo bring the inbred sin to light\nThat lurks within our nature.\n\n4. From sin our flesh could not abstain,\nSin held its sway unceasing;\nThe task was use-less and in vain,\nOur guilt was e'er increasing.\nNone can remove sin's poisoned dart\nOr purify our guileful heart-----\nSo deep is our corruption.\n",,,
232,,,,
233,,,,
234,,,,
235,,,,
236,,,,
237,,,,
238,,,,
239,,,,
240,,,,
241,,,,
242,,,,
243,,,,
244,,,,
245,,,,
246,,,,
247,,,,
248,,,,
249,,,,
250,,,,
251,,,,
252,,,,
253,,,,
254,,,,
255,,,,
256,,,,
257,,,,
258,,,,
259,,,,
260,,,,
261,,,,
262,,,,
263,,,,
264,,,,
265,,,,
266,,,,
267,,,,
268,,,,
269,,,,
270,,,,
271,"1. Jesus wants me for a sunbeam,\nTo shine for Him each day;\nIn ev'ry way try to please Him\nAt home, at school, at play.\n\nCh. A sun - beam, a sun - beam,\nJesus wants me for a sun - beam;\nA sun - beam, a sun - beam -\nI'll be a sunbeam for Him\n\n2. Jesus wants me to be loving,\nAnd kind to all I see;\nShowing how pleasant and happy\nHis little one can be. \n\nCh. A sun - beam, a sun - beam,\nJesus wants me for a sun - beam;\nA sun - beam, a sun - beam -\nI'll be a sunbeam for Him \n\n3. I will ask Jesus to help me,\nTo keep my heart from sin;\nEver reflecting His goodness,\nAnd always shine for Him. \n\nCh. A sun - beam, a sun - beam,\nJesus wants me for a sun - beam;\nA sun - beam, a sun - beam -\nI'll be a sunbeam for Him \n\n4. I'll be a sunbeam for Jesus\nI can if I but try -\nServing Him moment by moment,\nThen live with Him on high. \n\nCh. A sun - beam, a sun - beam,\nJesus wants me for a sun - beam;\nA sun - beam, a sun - beam -\nI'll be a sunbeam for Him",,,
272,,,,
273,,,,
274,,,,
275,,,,
276,,,,
277,,,,
278,,,,
279,,,,
280,,,,
281,,,,
282,,,,
283,,,,
284,,,,
285,,,,
286,,,,
287,,,,
288,,,,
289,,,,
290,,,,
291,"1. Jesus loves me! This I know,\nFor the Bible tells me so;\nLittle ones to Him belong;\nThey are weak, but He is strong.\n\nCh: Yes, Jesus loves me!\nYes, Jesus loves me!\nYes, Jesus loves me!\nThe Bible tells me so!\n\n2. Jesus loves me! He who died\nHeaven's gate to open wide:\nHe will wash away my sin:\nLet His little child come in. \n\nCh: Yes, Jesus loves me!\nYes, Jesus loves me!\nYes, Jesus loves me!\nThe Bible tells me so! \n\n3. Jesus loves me! He will stay\nClose beside me all the way:\nIf I love Him, when I die\nHe will take me home on high. \n\nCh: Yes, Jesus loves me!\nYes, Jesus loves me!\nYes, Jesus loves me!\nThe Bible tells me so!",,,
292,,,,
293,,,,
294,,,,
295,,,,
296,,,,
297,,,,
298,,,,
299,,,,
300,,,,
301,,,,
302,,,,
303,,,,
304,,,,
305,,,,
306,,,,
307,,,,
308,,,,
309,,,,
310,,,,
311,,,,
312,,,,
313,,,,
314,,,,
315,,,,
316,,,,
317,,,,
318,,,,
319,,,,
320,,,,
321,,,,
322,,,,
323,,,,
324,,,,
325,,,,
326,,,,
327,,,,
328,,,,
329,,,,
330,,,,
331,,,,
332,,,,
333,,,,
334,,,,
335,,,,
336,,,,
337,,,,
338,,,,
339,,,,
340,,,,
341,,,,
342,,,,
343,,,,
344,,,,
345,,,,
346,,,,
347,,,,
348,,,,
349,,,,
350,,,,
351,,,,
352,,,,
353,,,,
354,,,,
355,,,,
356,,,,
357,,,,
358,,,,
359,,,,
360,,,,
361,,,,
362,,,,
363,,,,
364,,,,
365,,,,
366,,,,
367,,,,
368,,,,
369,,,,
370,,,,
371,,,,
372,,,,
373,,,,
374,,,,
375,,,,
376,,,,
377,,,,
378,,,,
379,,,,
380,,,,
381,,,,
382,,,,
383,,,,
384,,,,
385,,,,
386,,,,
387,,,,
388,,,,
389,"1. Lord Jesus, who art come\nA teacher sent from heaven,\nAnd by both word and deed\nGod's truth to us hast given,\nThou wisely hast ordained\nThe holy ministry\nThat we, Thy flock, may know\nThe way to God thro' Thee.\n\n2. Thou hast, O Lord, returned,\nTo God's right hand ascending;\nYet Thou art in the world,\nThy kingdom here extending,\nThro' preaching of Thy Word\nIn ev'ry land and clime,\nThy people's faith is kept\nUntil the end of time.\n\n3. O blessed ministry,\nOf reconciliation,\nThat shows the way to God\nAnd brings to us salvation!\nBy Thine evangel pure,\nLord, Thou preserv'st Thy fold,\nDost call, enlighten, keep,\nDost comfort and uphold.\n\n4. Preserve this ministry,\nWhile harvest - days are keeping;\nAnd since the fields are white\nAnd hands are few for reaping,\nSend workers forth, O Lord,\nThe sheaves to gather in,\nThat not a soul be lost\nWhich Thou art come to win.\n\n5. The servants Thou hast called\nAnd to Thy Church art giving,\nPreserve in doctrine pure,\nAnd holiness of living.\nThy Spirit fill their hearts,\nEndue their tongue with power;\nWhat they should boldly speak,\nOh, give them in that hour.\n",,,
390,,,,
391,,,,
392,,,,
393,,,,
394,,,,
395,,,,
396,,,,
397,,,,
398,,,,
399,,,,
400,,,,
401,,,,
402,,,,
403,,,,
404,,,,
405,,,,
406,,,,
407,,,,
408,"1. Preserve Thy Word, O Savior,\nTo us this latter day\nAnd let Thy kingdom flourish,\nEnlarge Thy Church, we pray,\nOh, keep our faith from failing,\nKeep hope's bright star aglow.\nLet naught from Thy Word turn us,\nWhile wand'ring here below.\n\n2. Preserve, O Lord. Thine honor,\nThe bold blasphemer smite;\nConvince, convert, enlighten,\nThe souls in error's night.\nReveal Thy will, dear Savior,\nTo all who dwell below\nThou Light of all the living\nThat men Thy name may know.\n\n3. Preserve, O Lord, Thy Zion,\nBought dearly with Thy blood;\nProtect what Thou hast chosen\nAgainst the foes' dread brood.\nBe Thou her great Defender\nWhen dangers gather round;\nE'en tho' the earth be crumbling,\nSafe will Thy Church be found.\n\n4. Preserve, O Lord, Thy children,\nThine own blest heritage;\nResist, disperse, and scatter,\nThose who against Thee rage.\nLet Thy commandments guide us,\nGrant us Thy heav'nly food;\nClothe us in Thy rich garments,\nBought with Thy precious blood.\n",,,
409,,,,
410,,,,
411,,,,
412,,,,
413,,,,
414,,,,
415,,,,
416,,,,
417,,,,
418,,,,
419,,,,
420,,,,
421,,,,
422,,,,
